Training;TWI;SLOPE;PROFC;PLANC;NDVI;LANDUSE;GEOM;GEO;ELEV;ASP
1;3.460681;44.698486;0.000773;-0.003968;0.594851;7;1;3;753.014221;158.236755
1;3.644282;41.625145;0.000117;-0.000691;0.593452;7;1;3;723.356995;165.026245
1;3.679418;43.047279;-0.000273;0.001738;0.583411;7;1;3;691.769775;170.081085
1;3.512333;43.874813;0.003137;0.010087;0.592617;7;1;10;716.69928;159.754333
1;3.455848;48.053696;0.00192;-0.00303;0.390374;7;1;10;680.253784;198.956116
1;3.536355;44.294579;-0.000936;-0.001639;0.678073;7;1;3;712.111572;110.231491
1;3.622764;40.937813;-0.001185;-0.006581;0.526814;7;1;5;706.958862;195.665451
1;3.958275;38.067978;-0.007531;-0.012208;0.473015;7;1;5;698.340576;192.539948
1;3.47807;47.196999;0.009216;-0.011836;0.512694;7;1;5;713.971863;185.458221
1;3.866274;35.132153;0.010649;-0.013089;0.530414;7;1;5;699.057861;202.850983
1;3.901463;40.669071;-0.000779;-0.002538;0.552705;7;1;10;373.776001;227.659729
1;5.063457;21.563797;0.000175;-0.002983;0.549064;7;1;3;576.11322;181.92395
1;4.546091;20.640255;0.001939;-0.002565;0.546991;7;1;3;542.432007;253.96701
1;3.335208;49.138275;-0.011005;0.004322;0.620938;7;1;5;655.171814;3.48154
1;4.458162;21.502766;-4.50E-05;0.002817;0.583802;7;1;3;540.802307;258.912079
1;4.331027;25.355957;0.007993;0.020835;0.572382;7;1;5;529.343262;162.235916
1;3.507554;45.094078;0.003455;-0.024029;0.596557;7;1;5;689.101563;47.201527
1;6.601354;21.185308;-0.01887;-0.072194;0.477922;7;1;3;450.518982;155.413651
1;4.334351;22.331347;0.007643;0.013886;0.585519;7;1;5;610.017822;138.464539
1;4.774669;21.798805;0.009322;0.001879;0.673472;7;1;10;170.843552;107.957542
1;4.559609;20.435463;0.006844;-0.010475;0.59945;7;1;4;616.086426;325.78299
1;5.282657;9.928659;0.009604;0.00416;0.627026;7;1;4;515.144348;267.778381
1;5.978374;25.161942;-0.038985;-0.04057;0.663038;7;1;4;357.628601;299.402802
1;3.332778;46.967407;;;0.505164;7;1;5;867.094177;179.71283
1;3.564877;41.724052;-0.000966;0.053747;0.529617;7;1;3;765.537109;158.131577
1;3.506164;43.850418;0.007448;0.006534;0.626114;7;1;5;855.877197;118.575775
1;3.354527;49.063099;0.006477;0.022409;0.599663;7;1;5;800.348328;157.317886
1;4.524651;29.880432;-0.034378;-0.177547;0.525841;7;1;5;731.049255;165.446838
1;3.46364;45.068546;0.001943;0.007793;0.483185;7;1;10;334.920105;217.161682
1;4.148385;26.811472;0.002065;0.00548;0.595307;7;1;3;627.727661;99.230621
1;3.640433;39.134727;-0.003136;-0.016168;0.676106;7;1;5;835.233398;98.96405
1;3.829941;34.796169;0.000557;0.004249;0.44248;7;1;4;268.148987;235.912659
1;3.810666;40.808586;0.00129;-0.003912;0.594183;7;1;5;802.437866;190.623077
1;4.167467;40.439617;9.90E-05;-0.00503;0.656532;7;1;4;235.426804;7.528489
1;4.708849;16.09507;0.01036;-0.004442;0.585365;7;1;10;146.862595;209.21376
1;3.993765;35.011986;0.000887;0.015288;0.639297;7;1;10;387.304688;122.537796
1;4.322557;37.582607;-0.001049;-0.000516;0.628786;7;1;4;432.246704;328.059204
1;4.653876;43.898304;0.006833;-0.029024;0.437107;7;1;3;453.542786;258.806
1;3.994337;43.774109;-0.000556;-0.004804;0.533054;7;1;4;470.413574;301.3638
1;3.269041;49.71347;-0.001642;0.00295;0.566295;7;1;5;760.330078;163.798233
1;3.440906;46.600834;0.005859;-0.002179;0.528085;7;1;5;780.777832;186.343918
1;3.667257;40.139557;0.013406;0.001937;0.486219;7;1;3;624.066956;194.974792
1;3.636728;41.852501;0.00135;0.001387;0.49799;7;1;5;657.925476;195.350327
1;3.500945;47.371815;-8.50E-05;-0.000991;0.436501;7;1;5;590.751648;180.076157
1;4.215614;27.994909;-0.002557;-0.000948;0.5413;7;1;3;459.315643;182.105804
1;4.041753;40.145138;-0.000711;-0.002264;0.510913;7;1;7;502.977234;287.283844
1;5.120525;23.562649;-0.019855;-0.014738;0.651698;7;1;4;214.752106;341.960022
1;4.147084;36.622627;0.003018;-0.006839;0.542592;7;1;7;434.67804;320.34729
1;4.257307;24.381422;0.004495;0.004531;0.635295;7;1;3;639.469421;143.056381
1;3.810156;39.337055;-0.001015;-0.020187;0.588917;7;1;5;656.971191;181.594254
1;6.380034;6.480505;-0.001998;0.000563;0.305498;8;6;12;13.875026;349.107727
1;4.853571;18.143238;-0.025076;-0.005117;0.366061;8;3;12;14.629418;327.047424
1;4.232094;28.896872;0.006598;0.010833;0.383946;8;3;12;20.764729;334.822876
1;4.05195;36.148018;0.025925;-0.000451;0.431094;8;3;12;25.02145;358.799835
1;4.039273;35.836826;0.021418;-0.002257;0.419937;8;3;12;25.46862;355.146118
